TESS Input Catalog identifier,Tess magnitude,Luminosity (in L_sun),Effective Temp. (in K),Radius (in R_sun),Period of Rotation (in days),Rossby Number,Bolometric Energy (in erg units),Relative flare amplitude,Mass (in M_sun)
197961755,14.1066,0.006556336,3225,0.260117,0.880905,0.00880905,1.33E+33,0.29291,0.219121205
197987557,13.596,0.002019703,2995,0.167397,0.32994,0.0032994,1.47E+32,0.19221,0.139798852
198034151,13.1395,0.014155182,3282,0.369044,0.93356,0.0093356,1.46E+33,0.12815,0.29394249
200668936,12.3161,0.019980638,3196,0.462369,2.010846,0.02010846,8.10E+33,0.3469,0.335272122
200769811,13.4031,0.010926168,3197,0.341701,0.738423,0.00738423,8.09E+32,0.09454,0.266283007
201226029,13.5421,0.004260135,2948,0.250931,0.907387,0.00907387,2.29E+33,0.18349,0.185874409
201248233,13.5961,0.008910821,3284,0.292449,0.703256,0.00703256,1.63E+33,0.2149,0.246346093
201251167,12.3577,0.004294898,3205,0.213166,3.640889,0.03640889,1.46E+32,0.06991,0.18645186
201289286,11.5771,0.00829162,3206,0.295999,2.737665,0.02737665,2.80E+32,0.07773,0.239666531
201292296,10.9008,0.026526965,3379,0.476612,2.546203,0.02546203,1.38E+33,0.06378,0.373571607
201307948,14.2888,0.00143788,2825,0.158753,0.871026,0.00871026,1.90E+32,0.12418,0.122795119
201753428,10.7691,0.050265248,3518,0.605257,1.596881,0.01596881,2.62E+33,0.06342,0.476782743
201789285,14.0311,0.003448845,2864,0.239215,0.151577,0.00151577,5.70E+32,0.40204,0.171474932
201795667,11.2926,0.027481047,3313,0.504628,1.282003,0.01282003,1.41E+33,0.05485,0.378643935
201858667,12.6205,0.036320595,3328,0.57492,3.640889,0.03640889,1.94E+33,0.06664,0.421172385
201861769,12.8405,0.008811344,3134,0.319316,0.86277,0.0086277,1.19E+33,0.36441,0.24529279
201878287,11.1535,0.002467919,2993,0.185289,0.469225,0.00469225,7.13E+31,0.10617,0.150912882
201879471,11.2456,0.034109553,3587,0.479593,3.193762,0.03193762,4.60E+32,0.0114,0.411195968
201898220,11.9353,0.015008959,3106,0.424297,0.567614,0.00567614,7.74E+32,0.04091,0.300587164
201898222,12.6815,0.00868727,3080,0.328275,0.445607,0.00445607,1.58E+33,0.11151,0.243968682
201938513,10.8024,0.044194654,3494,0.575356,1.10369,0.0110369,2.25E+33,0.03565,0.453926336
204450571,13.3193,0.005710068,3222,0.243202,1.569349,0.01569349,3.64E+32,0.13689,0.20786245
206283441,13.1075,0.002705149,3020,0.190537,0.64519,0.0064519,1.29E+32,0.19233,0.156293228
206327797,9.7389,0.03473736,3290,0.575313,0.223861,0.00223861,6.40E+33,0.31901,0.414068363
206358152,12.3284,0.01392883,3297,0.362758,1.0285,0.010285,6.23E+33,0.37041,0.292139513
206537793,11.2387,0.026586718,3333,0.49041,1.517037,0.01517037,7.59E+32,0.04682,0.373892564
206544316,11.6337,0.020917102,3237,0.461172,0.321802,0.00321802,1.29E+34,0.54387,0.341184954
206548902,9.14696,0.034259482,3646,0.465216,6.5505,0.065505,2.53E+32,0.00477,0.411884887
